Week,Google Trends Attention,Weekly Stock Price
2018-01-08,24,22.4146671295166
2018-01-15,26,23.334667205810547
2018-01-22,25,22.856666564941406
2018-01-29,51,22.916667938232425
2018-02-05,32,20.69466781616211
2018-02-12,27,22.36599922180176
2018-02-19,25,23.46999931335449
2018-02-26,23,22.341333389282227
2018-03-05,22,21.81133270263672
2018-03-12,24,21.42333221435547
2018-03-19,32,20.1026668548584
2018-03-26,30,17.742000579833984
2018-04-02,24,19.953332901000977
2018-04-09,26,20.022666931152344
2018-04-16,23,19.34933280944824
2018-04-23,28,19.60533332824707
2018-04-30,26,19.606000900268555
2018-05-07,27,20.070667266845703
2018-05-14,26,18.454666137695312
2018-05-21,24,18.59000015258789
2018-05-28,25,19.454666137695312
2018-06-04,26,21.17733383178711
2018-06-11,24,23.87800025939941
2018-06-18,23,22.242000579833984
2018-06-25,26,22.86333274841309
2018-07-02,26,20.59333229064941
2018-07-09,25,21.257999420166016
2018-07-16,26,20.905332565307617
2018-07-23,29,19.812000274658203
2018-07-30,34,23.211332321166992
2018-08-06,30,23.69933319091797
2018-08-13,28,20.36666679382324
2018-08-20,26,21.521333694458008
2018-08-27,32,20.11066627502441
2018-09-03,32,17.549333572387695
2018-09-10,26,19.68000030517578
2018-09-17,31,19.940000534057617
2018-09-24,34,17.65133285522461
2018-10-01,29,17.463333129882812
2018-10-08,28,17.25200080871582
2018-10-15,33,17.333332061767578
2018-10-22,27,22.059999465942383
2018-10-29,26,23.0939998626709
2018-11-05,25,23.367332458496094
2018-11-12,23,23.62066650390625
2018-11-19,25,21.722000122070312
2018-11-26,27,23.365333557128903
2018-12-03,27,23.86466789245605
2018-12-10,28,24.38066673278809
2018-12-17,28,21.31800079345703
2018-12-24,29,22.257999420166016
2018-12-31,28,21.179332733154297
2019-01-07,27,23.15066719055176
2019-01-14,25,20.15066719055176
2019-01-21,27,19.80266761779785
2019-01-28,25,20.81399917602539
2019-02-04,26,20.386667251586918
2019-02-11,25,20.525333404541016
2019-02-18,36,19.6473331451416
2019-02-25,36,19.652666091918945
2019-03-04,41,18.94266700744629
2019-03-11,35,18.36199951171875
2019-03-18,29,17.635332107543945
2019-03-25,33,18.65733337402344
2019-04-01,30,18.33066749572754
2019-04-08,29,17.84666633605957
2019-04-15,39,18.21733283996582
2019-04-22,33,15.675999641418455
2019-04-29,33,17.00200080871582
2019-05-06,32,15.968000411987305
2019-05-13,36,14.0686674118042
2019-05-20,33,12.708666801452637
2019-05-27,33,12.343999862670898
2019-06-03,33,13.633333206176758
2019-06-10,31,14.32800006866455
2019-06-17,31,14.790666580200195
2019-06-24,33,14.897333145141602
2019-07-01,31,15.539999961853027
2019-07-08,33,16.338666915893555
2019-07-15,35,17.211999893188477
2019-07-22,31,15.202667236328123
2019-07-29,30,15.62266731262207
2019-08-05,31,15.667332649230955
2019-08-12,31,14.662667274475098
2019-08-19,28,14.09333324432373
2019-08-26,29,15.040666580200195
2019-09-02,31,15.16333293914795
2019-09-09,31,16.34666633605957
2019-09-16,32,16.041332244873047
2019-09-23,35,16.142000198364258
2019-09-30,31,15.428667068481444
2019-10-07,32,16.525999069213867
2019-10-14,38,17.1299991607666
2019-10-21,31,21.875333786010746
2019-10-28,31,20.88733291625977
2019-11-04,35,22.47599983215332
2019-11-11,100,23.47800064086914
2019-11-18,99,22.202667236328125
2019-11-25,46,21.996000289916992
2019-12-02,40,22.392667770385746
2019-12-09,40,23.892667770385746
2019-12-16,44,27.03933334350586
2019-12-23,41,28.691999435424805
2019-12-23,50,28.691999435424805
2019-12-30,50,29.53400039672852
2020-01-06,53,31.87666702270508
2020-01-13,54,34.03333282470703
2020-01-20,57,37.654666900634766
2020-01-27,88,43.37133407592773
2020-02-03,56,49.87133407592773
2020-02-10,58,53.33533477783203
2020-02-17,55,60.06666564941406
2020-02-24,53,44.53266525268555
2020-03-02,51,46.89866638183594
2020-03-09,49,36.44133377075195
2020-03-16,38,28.50200080871582
2020-03-23,36,34.29066848754883
2020-03-30,32,32.000667572021484
2020-04-06,40,38.20000076293945
2020-04-13,36,50.25933456420898
2020-04-20,45,48.34333419799805
2020-04-27,42,46.75466537475586
2020-05-04,48,54.62799835205078
2020-05-11,38,53.27799987792969
2020-05-18,44,54.45866775512695
2020-05-25,46,55.66666793823242
2020-06-01,52,59.04399871826172
2020-06-08,49,62.35200119018555
2020-06-15,46,66.72666931152344
2020-06-22,54,63.982666015625
2020-06-29,65,80.57733154296875
2020-07-06,69,102.97666931152344
2020-07-13,74,100.05599975585938
2020-07-20,57,94.46666717529295
2020-07-27,48,95.38400268554688
2020-08-03,56,96.84733581542967
2020-08-10,72,110.04733276367188
2020-08-17,68,136.6653289794922
2020-08-24,100,147.55999755859375
2020-08-31,83,139.44000244140625
2020-09-07,66,124.23999786376952
2020-09-14,88,147.38333129882812
2020-09-21,62,135.77999877929688
2020-09-28,55,138.3633270263672
2020-10-05,55,144.6666717529297
2020-10-12,58,146.55667114257812
2020-10-19,48,140.2100067138672
2020-10-26,43,129.34666442871094
2020-11-02,45,143.31666564941406
2020-11-09,61,136.1666717529297
2020-11-16,61,163.20333862304688
2020-11-23,61,195.2533264160156
2020-11-30,64,199.67999267578125
2020-12-07,59,203.3300018310547
2020-12-14,63,231.6666717529297
2020-12-21,62,220.58999633789065
2020-12-28,87,235.22332763671875
2021-01-04,97,293.3399963378906
2021-01-11,72,275.3866577148437
2021-01-18,86,282.2133178710937
2021-01-25,74,264.510009765625
2021-02-01,72,284.07666015625
2021-02-08,69,272.0400085449219
2021-02-15,78,260.4333190917969
2021-02-22,74,225.1666717529297
2021-03-01,74,199.3166656494141
2021-03-08,64,231.2433319091797
2021-03-15,61,218.2899932861328
2021-03-22,62,206.23666381835935
2021-03-29,60,220.5833282470703
2021-04-05,60,225.67333984375
2021-04-12,66,246.5933380126953
2021-04-19,65,243.13333129882807
2021-04-26,55,236.47999572753903
2021-05-03,69,224.1233367919922
2021-05-10,65,196.5800018310547
2021-05-17,58,193.6266632080078
2021-05-24,53,208.4066619873047
2021-05-31,59,199.68333435058597
2021-06-07,54,203.29666137695312
2021-06-14,54,207.7700042724609
2021-06-21,55,223.9566650390625
2021-06-28,51,226.3000030517578
2021-07-05,56,218.98333740234372
2021-07-12,54,214.7400054931641
2021-07-19,55,214.4600067138672
2021-07-26,51,229.0666656494141
2021-08-02,54,233.0333404541016
2021-08-09,59,239.05667114257807
2021-08-16,60,226.7533264160156
2021-08-23,51,237.30667114257807
2021-08-30,50,244.52333068847656
2021-09-06,51,245.42333984375
2021-09-13,49,253.163330078125
2021-09-20,51,258.1300048828125
2021-09-27,54,258.4066772460937
2021-10-04,52,261.8299865722656
2021-10-11,59,281.010009765625
2021-10-18,82,303.2266540527344
2021-10-25,83,371.3333435058594
2021-11-01,82,407.36334228515625
2021-11-08,71,344.47332763671875
2021-11-15,63,379.0199890136719
2021-11-22,61,360.6400146484375
2021-11-29,60,338.3233337402344
2021-12-06,62,339.010009765625
2021-12-13,64,310.8566589355469
2021-12-20,66,355.6666564941406
2021-12-20,78,355.6666564941406
2021-12-27,87,352.260009765625
2022-01-03,76,342.32000732421875
2022-01-10,64,349.8699951171875
2022-01-17,84,314.6333312988281
2022-01-24,75,282.1166687011719
2022-01-31,69,307.7733459472656
2022-02-07,70,286.6666564941406
2022-02-14,68,285.6600036621094
2022-02-21,67,269.9566650390625
2022-02-28,83,279.42999267578125
2022-03-07,79,265.1166687011719
2022-03-14,81,301.7966613769531
2022-03-21,82,336.8800048828125
2022-03-28,78,361.5299987792969
2022-04-04,75,341.8299865722656
2022-04-11,85,328.3333435058594
2022-04-18,93,335.01666259765625
2022-04-25,82,290.2533264160156
2022-05-02,81,288.54998779296875
2022-05-09,76,256.5299987792969
2022-05-16,79,221.3000030517578
2022-05-23,75,253.2100067138672
2022-05-30,77,234.51666259765625
2022-06-06,81,232.22999572753903
2022-06-13,75,216.75999450683597
2022-06-20,71,245.7066650390625
2022-06-27,70,227.26333618164065
2022-07-04,65,250.76333618164065
2022-07-11,70,240.0666656494141
2022-07-18,65,272.24334716796875
2022-07-25,70,297.1499938964844
2022-08-01,72,288.1700134277344
2022-08-08,65,300.0299987792969
2022-08-15,73,296.6666564941406
2022-08-22,64,288.0899963378906
2022-08-29,58,270.2099914550781
2022-09-05,62,299.67999267578125
2022-09-12,60,303.3500061035156
2022-09-19,61,275.3299865722656
2022-09-26,66,265.25
2022-10-03,59,223.07000732421875
2022-10-10,61,204.9900054931641
2022-10-17,61,214.44000244140625
2022-10-24,58,228.5200042724609
2022-10-31,63,207.47000122070312
2022-11-07,65,195.97000122070312
2022-11-14,54,180.19000244140625
2022-11-21,57,182.8600006103516
2022-11-28,56,194.8600006103516
2022-12-05,65,179.0500030517578
2022-12-12,74,150.22999572753906
2022-12-19,80,123.1500015258789
2022-12-26,84,123.18000030517578
2023-01-02,84,113.05999755859376
2023-01-09,83,122.4000015258789
2023-01-16,95,133.4199981689453
2023-01-23,81,177.89999389648438
2023-01-30,73,189.97999572753903
2023-02-06,78,196.88999938964844
2023-02-13,72,208.30999755859372
2023-02-20,87,196.8800048828125
2023-02-27,73,197.7899932861328
2023-03-06,64,173.44000244140625
2023-03-13,66,180.1300048828125
2023-03-20,66,190.41000366210935
2023-03-27,71,207.4600067138672
2023-04-03,66,185.05999755859372
2023-04-10,80,185.0
2023-04-17,71,165.0800018310547
2023-04-24,64,164.30999755859375
2023-05-01,60,170.05999755859375
2023-05-08,63,167.97999572753906
2023-05-15,67,180.13999938964844
2023-05-22,66,193.1699981689453
2023-05-29,74,213.97000122070312
2023-06-05,74,244.3999938964844
2023-06-12,75,260.5400085449219
2023-06-19,75,256.6000061035156
2023-06-26,73,261.7699890136719
2023-07-03,76,274.42999267578125
2023-07-10,89,281.3800048828125
2023-07-17,77,260.0199890136719
2023-07-24,74,266.44000244140625
2023-07-31,69,253.8600006103516
2023-08-07,73,242.6499938964844
2023-08-14,70,215.4900054931641
2023-08-21,77,238.58999633789065
2023-08-28,73,245.00999450683597
2023-09-04,70,248.5
2023-09-11,68,274.3900146484375
2023-09-18,72,244.8800048828125
2023-09-25,69,250.22000122070312
2023-10-02,63,260.5299987792969
2023-10-09,74,251.1199951171875
2023-10-16,67,211.9900054931641
2023-10-23,67,207.3000030517578
2023-10-30,64,219.9600067138672
2023-11-06,65,214.6499938964844
2023-11-13,62,234.3000030517578
2023-11-20,75,235.4499969482422
2023-11-27,76,238.8300018310547
2023-12-04,71,243.83999633789065
2023-12-11,69,253.5
2023-12-18,72,252.5399932861328
2023-12-25,64,248.47999572753903
2024-01-01,69,237.4900054931641
2024-01-08,72,218.88999938964844
2024-01-15,73,212.19000244140625
2024-01-22,73,183.25
2024-01-29,72,187.91000366210935
2024-02-05,68,193.57000732421875
2024-02-12,67,199.9499969482422
2024-02-19,68,191.97000122070312
2024-02-26,71,202.63999938964844
2024-03-04,69,175.33999633789062
2024-03-11,74,163.57000732421875
2024-03-18,73,170.8300018310547
2024-03-25,78,175.7899932861328
2024-04-01,75,164.89999389648438
2024-04-08,84,171.0500030517578
2024-04-15,94,147.0500030517578
2024-04-22,80,168.2899932861328
2024-04-29,72,181.19000244140625
2024-05-06,71,168.47000122070312
2024-05-13,70,177.4600067138672
2024-05-20,72,179.24000549316406
2024-05-27,69,178.0800018310547
2024-06-03,79,177.47999572753906
2024-06-10,73,178.00999450683594
2024-06-17,70,183.00999450683597
2024-06-24,75,197.8800048828125
2024-07-01,79,251.5200042724609
2024-07-08,76,248.22999572753903
2024-07-15,79,239.1999969482422
2024-07-22,68,219.8000030517578
2024-07-29,72,207.6699981689453
2024-08-05,71,200.0
2024-08-12,69,216.1199951171875
2024-08-19,66,220.32000732421875
2024-08-26,65,214.1100006103516
2024-09-02,64,210.72999572753903
2024-09-09,64,230.2899932861328
2024-09-16,66,238.25
2024-09-23,67,260.4599914550781
2024-09-30,88,250.0800018310547
2024-10-07,87,217.8000030517578
2024-10-14,89,220.6999969482422
2024-10-21,76,269.19000244140625
2024-10-28,94,248.97999572753903
2024-11-04,100,321.2200012207031
2024-11-11,89,320.7200012207031
2024-11-18,82,352.5599975585937
2024-11-25,85,345.1600036621094
2024-12-02,85,389.2200012207031
